"","Date","TDa","Volatility","Volume","Roll"
"323",2013-04-26,-0.17193907968409,2.96053,2510,0
"324",2013-04-29,1.42157266630532,5.09777,23104,0
"325",2013-04-30,-0.226808118440654,3.64664,27450,0
"326",2013-05-01,-0.356032649895666,3.08042,20929,0
"327",2013-05-02,-0.473686610929849,1.03948,6154,0
"328",2013-05-03,0.422747082067494,1.80378,8713,0
"329",2013-05-06,-0.107482606087013,2.34047,13887,0
"330",2013-05-07,0.0654476412737239,1.40839,15325,0
"331",2013-05-08,0.0386119273187014,1.00787,4616,0
"332",2013-05-09,-0.0494361491824264,2.62911,29668,0
"333",2013-05-10,0.526602541146203,4.15579,29338,0
"334",2013-05-13,-0.150374428719636,1.69562,11185,0
"335",2013-05-14,1.77719723509599,2.88462,7705,1
"336",2013-05-15,-1.82091579532213,4.27721,17384,0
"337",2013-05-16,0.0825823892292699,1.14441,8841,0
"338",2013-05-17,-0.0710998142307269,1.64835,11140,0
"339",2013-05-20,0.477107414634878,3.05844,24055,0
"340",2013-05-21,-0.640823417336122,1.27227,23486,0
"341",2013-05-22,0.434402884926001,1.80033,31507,0
"342",2013-05-23,0.115035603446453,1.90502,3000,0
"343",2013-05-24,-0.842829358430353,1.19956,31345,0
"344",2013-05-28,0.850673121589517,1.89394,10165,0
"345",2013-05-29,0.0250682915493226,2.1322,18399,0
"346",2013-05-30,-0.701597108504837,2.04962,19245,0
"347",2013-05-31,0.702611210853591,2.38674,34210,0
"348",2013-06-03,0.470999507855384,3.30357,25860,0
"349",2013-06-04,-0.150677559465482,2.08794,63854,0
"350",2013-06-05,-0.55417515046687,1.16864,27862,0
"351",2013-06-06,0.744046747072466,2.56973,35246,0
"352",2013-06-07,-0.127004378483598,1.60944,44900,0
"353",2013-06-10,-0.92360897706121,2.16851,44102,0
"354",2013-06-11,-0.241813267293684,1.46341,12480,0
"355",2013-06-12,0.406737948731762,2.46692,9219,0
"356",2013-06-13,-1.12510389356774,1.33366,13956,0
"357",2013-06-14,1.19125851860423,1.10681,7948,0
"358",2013-06-17,0.399468997570538,1.81668,3969,0
"359",2013-06-18,-0.205641869415607,1.36995,34225,0
"360",2013-06-19,-0.377628414924065,2.62735,18475,0
"361",2013-06-20,-0.206297577405307,2.22584,15300,0
"362",2013-06-21,-0.188734556819676,0.98323,8678,0
"363",2013-06-24,0.37186630940786,3.26782,35148,0
"364",2013-06-25,-0.0807860379223593,1.22974,4040,0
"365",2013-06-26,-0.216895726472104,1.98075,8550,0
"366",2013-06-27,0.455849997592954,0.96263,6075,0
"367",2013-06-28,-0.994871138107828,3.66569,20635,0
"368",2013-07-01,0.489620817720297,3.10572,6700,0
