Date,Close,Open,Low,High
06-Apr-2018,49.164,48.798,48.525,49.239
05-Apr-2018,49.039,48.383,48.328,49.049
04-Apr-2018,48.309,49.070,47.310,49.089
03-Apr-2018,48.942,48.719,48.674,49.304
02-Apr-2018,48.571,49.219,48.567,49.314
29-Mar-2018,48.815,47.760,47.648,48.964
28-Mar-2018,47.764,48.114,47.724,48.140
27-Mar-2018,48.057,48.129,48.012,48.404
26-Mar-2018,48.144,48.833,48.140,48.833
23-Mar-2018,48.447,48.483,47.641,48.537
22-Mar-2018,48.388,48.396,48.155,48.565
21-Mar-2018,48.290,48.214,48.083,48.421
20-Mar-2018,48.131,48.248,48.017,48.401
19-Mar-2018,48.139,48.693,48.126,48.725
16-Mar-2018,49.072,49.460,49.049,49.529
15-Mar-2018,49.352,49.650,49.147,49.802
14-Mar-2018,49.528,49.741,49.491,50.053
13-Mar-2018,49.807,49.786,49.669,50.124
12-Mar-2018,49.685,49.662,49.400,49.750
09-Mar-2018,49.687,50.222,49.677,50.225
08-Mar-2018,50.406,50.127,50.037,50.422
07-Mar-2018,50.173,50.612,50.153,50.786
06-Mar-2018,50.805,50.794,50.636,51.034
05-Mar-2018,51.010,50.670,50.473,51.024
02-Mar-2018,50.625,51.268,50.384,51.396
01-Mar-2018,51.084,50.282,49.975,51.114
28-Feb-2018,50.294,49.731,49.705,50.521
27-Feb-2018,49.567,49.553,49.442,49.705
26-Feb-2018,49.531,49.519,49.483,49.840
23-Feb-2018,49.218,49.276,49.137,49.431
22-Feb-2018,49.157,48.868,48.802,49.214
21-Feb-2018,48.954,48.620,48.551,49.155
20-Feb-2018,48.866,49.210,48.861,49.353
16-Feb-2018,48.868,49.218,48.706,49.253
15-Feb-2018,49.154,48.962,48.823,49.174
14-Feb-2018,48.873,48.597,48.488,48.929
13-Feb-2018,48.836,48.838,48.582,48.936
12-Feb-2018,48.759,48.600,48.375,48.768
09-Feb-2018,48.002,48.252,47.949,48.292
08-Feb-2018,48.307,48.482,48.129,48.581
07-Feb-2018,48.432,48.358,48.169,48.543
06-Feb-2018,48.140,47.487,47.402,48.153
05-Feb-2018,47.518,47.461,47.314,47.713
02-Feb-2018,47.776,47.946,47.655,47.960
01-Feb-2018,47.969,47.863,47.688,48.060
31-Jan-2018,48.088,48.457,47.953,48.499
30-Jan-2018,48.442,48.157,48.131,48.450
29-Jan-2018,48.136,48.142,47.928,48.264
26-Jan-2018,47.785,47.779,47.569,47.894
25-Jan-2018,47.681,47.749,47.507,48.091
24-Jan-2018,47.680,47.219,47.063,47.776
23-Jan-2018,47.194,47.250,47.010,47.346
22-Jan-2018,47.288,47.318,47.224,47.471
19-Jan-2018,47.091,46.979,46.971,47.291
18-Jan-2018,46.914,47.021,46.860,47.150
17-Jan-2018,47.009,46.745,46.708,47.027
16-Jan-2018,46.756,46.988,46.600,47.003
12-Jan-2018,46.939,47.146,46.685,47.246
11-Jan-2018,47.120,47.344,47.069,47.403
10-Jan-2018,47.379,47.494,47.258,47.607
09-Jan-2018,47.511,47.473,47.222,47.555
08-Jan-2018,47.438,47.830,47.281,47.862
05-Jan-2018,47.868,48.013,47.755,48.118
04-Jan-2018,47.980,47.987,47.690,48.038
03-Jan-2018,48.027,47.990,47.884,48.103
02-Jan-2018,47.911,47.501,47.475,47.962
29-Dec-2017,47.509,47.290,47.232,47.560
28-Dec-2017,47.353,47.533,47.227,47.581
27-Dec-2017,47.600,47.404,47.373,47.616
26-Dec-2017,47.358,47.112,47.112,47.416
22-Dec-2017,47.112,47.146,47.056,47.273
21-Dec-2017,47.217,47.146,46.968,47.250
20-Dec-2017,47.113,46.971,46.908,47.196
19-Dec-2017,46.936,46.851,46.826,47.166
18-Dec-2017,46.843,46.959,46.791,47.150
15-Dec-2017,46.893,47.010,46.793,47.205
14-Dec-2017,46.956,47.089,46.919,47.162
13-Dec-2017,47.119,46.948,46.932,47.136
12-Dec-2017,46.838,47.161,46.834,47.368
11-Dec-2017,47.126,47.453,47.039,47.486
08-Dec-2017,47.620,47.791,47.506,47.933
07-Dec-2017,47.753,48.102,47.598,48.192
06-Dec-2017,48.123,48.594,47.968,48.711
05-Dec-2017,48.551,48.457,48.381,48.839
04-Dec-2017,48.469,48.874,48.455,48.964
01-Dec-2017,48.614,48.328,48.265,48.674
30-Nov-2017,48.281,48.418,48.248,48.662
29-Nov-2017,48.452,48.075,48.030,48.504
28-Nov-2017,48.114,48.149,47.916,48.166
27-Nov-2017,48.214,48.343,48.161,48.421
24-Nov-2017,48.419,48.653,48.198,48.707
22-Nov-2017,48.573,48.203,48.203,48.675
21-Nov-2017,48.243,48.142,48.098,48.362
20-Nov-2017,48.228,48.333,47.927,48.356
17-Nov-2017,48.403,47.950,47.934,48.428
16-Nov-2017,47.859,48.008,47.828,48.039
15-Nov-2017,47.962,47.881,47.797,48.037
14-Nov-2017,47.899,48.180,47.848,48.238
13-Nov-2017,48.167,48.465,48.125,48.527
10-Nov-2017,48.526,48.299,48.227,48.593
09-Nov-2017,48.305,48.672,48.210,48.951
08-Nov-2017,48.702,48.526,48.361,48.712
07-Nov-2017,48.544,48.564,48.339,48.570
06-Nov-2017,48.568,48.366,48.246,48.651
03-Nov-2017,48.255,48.594,48.161,48.707
02-Nov-2017,48.603,48.368,48.171,48.695
01-Nov-2017,48.223,48.158,48.017,48.340
31-Oct-2017,48.137,48.384,48.037,48.434
30-Oct-2017,48.369,48.502,48.274,48.626
27-Oct-2017,48.434,48.272,48.182,48.461
26-Oct-2017,48.284,48.562,48.266,48.573
25-Oct-2017,48.474,48.613,48.443,48.915
24-Oct-2017,48.562,48.579,48.356,48.621
23-Oct-2017,48.537,48.096,47.946,48.577
20-Oct-2017,48.022,48.496,48.011,48.701
19-Oct-2017,48.490,48.362,48.283,48.699
18-Oct-2017,48.288,48.416,48.229,48.474
17-Oct-2017,48.434,48.552,48.381,48.649
16-Oct-2017,48.604,48.934,48.571,48.996
13-Oct-2017,49.066,48.620,48.592,49.120
12-Oct-2017,48.544,48.160,47.796,48.921
11-Oct-2017,48.081,48.333,48.033,48.335
10-Oct-2017,48.340,48.372,48.272,48.660
09-Oct-2017,48.326,48.541,48.242,48.576
06-Oct-2017,48.504,48.438,48.176,48.528
05-Oct-2017,48.386,48.287,48.084,48.545
04-Oct-2017,48.131,48.115,47.969,48.285
03-Oct-2017,48.102,48.153,48.072,48.373
02-Oct-2017,48.262,48.576,48.059,48.623
29-Sep-2017,48.631,48.418,48.337,48.943
28-Sep-2017,48.507,48.678,48.363,48.682
27-Sep-2017,48.792,48.683,48.305,48.865
26-Sep-2017,48.713,49.138,48.644,49.156
25-Sep-2017,49.070,49.169,48.938,49.253
22-Sep-2017,49.341,49.212,49.164,49.580
21-Sep-2017,49.087,49.174,48.811,49.176
20-Sep-2017,49.128,48.790,48.790,49.199
19-Sep-2017,48.743,49.246,48.466,49.279
18-Sep-2017,49.199,49.646,49.171,49.681
15-Sep-2017,49.526,49.255,49.152,49.584
14-Sep-2017,49.355,49.117,49.099,49.530
13-Sep-2017,49.000,48.792,48.627,49.199
12-Sep-2017,48.649,48.857,48.005,49.063
11-Sep-2017,48.960,49.049,48.744,49.156
08-Sep-2017,49.014,49.188,48.992,49.398
07-Sep-2017,49.051,49.403,49.035,49.581
06-Sep-2017,49.501,49.125,49.015,49.654
05-Sep-2017,49.249,48.729,48.720,49.466
01-Sep-2017,48.611,48.690,48.441,49.016
31-Aug-2017,48.673,47.791,47.753,48.766
30-Aug-2017,47.784,47.967,47.632,48.008
29-Aug-2017,47.905,48.260,47.857,48.264
28-Aug-2017,48.245,48.530,48.048,48.561
25-Aug-2017,48.368,48.409,48.289,48.552
24-Aug-2017,48.470,48.088,48.088,48.517
23-Aug-2017,48.093,48.338,48.050,48.519
22-Aug-2017,48.109,48.303,48.068,48.599
21-Aug-2017,48.340,48.446,48.226,48.480
18-Aug-2017,48.553,48.437,48.239,48.583
17-Aug-2017,48.330,48.432,48.074,48.567
16-Aug-2017,48.327,48.620,48.107,48.941
15-Aug-2017,48.631,49.533,48.555,49.558
14-Aug-2017,49.647,49.415,49.043,49.670
11-Aug-2017,49.755,49.763,49.508,49.800
10-Aug-2017,49.546,51.293,49.485,51.445
09-Aug-2017,51.295,51.223,51.016,51.348
08-Aug-2017,51.180,51.448,51.103,51.710
07-Aug-2017,51.298,51.089,50.926,51.321
04-Aug-2017,50.774,50.844,50.714,51.107
03-Aug-2017,50.800,51.238,50.658,51.272
